Harbour Province Name,SCH Harbour Code,Harbour Name,Number,Name,,A,B,C,"Average Landed Value, 2009-2013 ($CAD)","Average Landed Quantity, 2009-2013 (KG)",Change in Total Landed Quantity (2004 and 2013),Number of Active Vessels Port of Landing (2013),"Number of Active Vessels, Port of Landing (2009-2013)",Average Fishing Income (2009-2012),Average Income with Tax Filers (2009-2012),% of Average Fishing Income to Average Employment Income (2009-2012) (based on 2006 CSD boundaries),Total Population For CSD (2011),,
Prince Edward Island,2058,PINETTE,1102006,Lot 58,,,,,238785,131160,4.8943,6,4,85616,3495977,0.0245,493,,
Nova Scotia,1241,PINKNEYS POINT,1202004,Yarmouth,,,,,7951141,1544513,-0.3561,36,41,2575595,17774581,0.1449,10105,,
Newfoundland & Labrador,678,PINSENT'S ARM,1010008,"Division No. 10, Subd. B",,,,,577755,260130,0.5270,22,25,177096,776036,0.2282,349,,
Newfoundland & Labrador,382,PINWARE,1010007,Pinware,,,,,3187,2669,-0.9875,1,1,NA,NA,NA,107,,
Newfoundland & Labrador,383,PLACENTIA,1001234,"Division No.  1, Subd. B",,,,,25991,21223,-0.4082,2,3,NA,NA,NA,344,,
Newfoundland & Labrador,385,PLATE COVE WEST,1007028,"Division No.  7, Subd. F",,,,,429974,564212,-0.5581,7,15,230455,2628849,0.0877,971,,
Nova Scotia,1243,PLEASANT BAY,1215011,"Inverness, Subd. A",,,,,2582730,425638,-0.2757,16,23,1281897,14555042,0.0881,5280,,
Nova Scotia,,PLEASANT HARBOUR,1209034,Halifax,,,,,169734,17360,2.1655,3,2,8295382,1795405559,0.0046,390096,,
Nova Scotia,,PLEASANT LAKE,1202001,Argyle,,,,,10131,15746,-0.8115,NA,1,8301417,26998789,0.3075,8252,,
Nova Scotia,,PLEASANT POINT,,,,,,,270640,325742,2.1205,2,4,NA,NA,NA,NA,,
Newfoundland & Labrador,386,PLEASANTVIEW,1008046,,,,,,3591,692,-0.6122,1,2,12191,424317,0.0287,537,,
Newfoundland & Labrador,592,PLUM POINT,1009021,"Division No.  9, Subd. C",,,,,70256,9949,-0.8452,12,10,1381827,7979120,0.1732,2729,,
New Brunswick,,POCOLOGAN,1302008,Lepreau,,,,,65581,385057,0.3527,1,1,462295,5818834,0.0794,752,,
Nova Scotia,1244,POINT ACONI (MCCREADYVILLE),1217030,Cape Breton,,,,,353214,51583,3.7296,5,7,4980681,329033792,0.0151,97398,,
New Brunswick,,POINT ALEXANDER,,,,,,,1366,780,-0.3607,NA,0,NA,NA,NA,NA,,
Newfoundland & Labrador,387,POINT AU GAUL,1002015,Point au Gaul,,,,,22970,6855,-0.9868,2,3,NA,NA,NA,97,,
Newfoundland & Labrador,,POINT MAY,1002014,,,,,,2998,369,-0.5173,3,1,NA,NA,NA,233,,
Newfoundland & Labrador,,POINT OF BAY,1008047,,,,,,23160,7751,-0.5358,3,3,NA,NA,NA,159,,
New Brunswick,2609,POINT SAPIN,1308026,Carleton,,,,,4008158,985988,-0.5466,59,69,594487,2236365,0.2658,770,,
New Brunswick,,POINTE BRULE,1315029,Shippagan,,,,,10287,7040,6.4648,1,1,2962105,12888780,0.2298,5032,,
Quebec,3736,POINTE-AUX-LOUPS,2401023,Les Îles-de-la-Madeleine,,,,,550111,63572,-0.8727,7,6,598409,1542285,0.3880,12291,,
Quebec,,POINTE-AUX-OUTARDES,2496030,,,,,,30577,13770,-0.4830,1,1,NA,NA,NA,1330,,
Quebec,3737,POINTE-BASSE,2401023,Les Îles-de-la-Madeleine,,,,,2849423,531756,-0.5122,25,27,598409,1542285,0.3880,12291,,
New Brunswick,,POINTE-DU-CHENE,1307005,,,,,,57074,23927,-0.1565,25,2,1388988,23458869,0.0592,6200,,
New Brunswick,2558,POINTE-VERTE,1315012,Beresford,,,,,891218,162686,0.6643,15,14,70868,23059190,0.0031,6354,,
Nova Scotia,,POIRIERVILLE,1216001,"Richmond, Subd. C",,,,,717954,89032,3.4454,1,3,1204305,10998223,0.1095,3286,,
New Brunswick,,POKEMOUCHE RIVER,,,,,,,174425,170770,-0.9694,2,5,NA,NA,NA,NA,,
New Brunswick,,POKESUDIE,1315026,Caraquet,,,,,38411,23617,5.5259,1,1,488211,4381495,0.1114,1382,,
Nova Scotia,,POMQUET,1214006,"Antigonish, Subd. B",,,,,55371,6358,0.1514,2,2,282070,19653962,0.0144,6439,,
Newfoundland & Labrador,395,POND COVE,1009021,"Division No.  9, Subd. C",,,,,5722,2576,-0.6454,NA,1,1381827,7979120,0.1732,2729,,
Newfoundland & Labrador,396,POOL'S COVE,1003001,"Division No.  3, Subd. A",,,,,275583,69775,-0.7806,3,10,NA,NA,NA,5,,
Newfoundland & Labrador,,POOL'S ISLAND,1007060,New-Wes-Valley,,,,,3520,1637,-0.7607,1,2,1545742,7733383,0.1999,2265,,
Nova Scotia,,POPE'S HARBOUR,1209034,Halifax,,,,,191954,19305,2.4284,2,2,8295382,1795405559,0.0046,390096,,
Newfoundland & Labrador,,PORT ALBERT,1008008,"Division No.  8, Subd. L",,,,,14769,6438,0.5967,2,1,120343,7955259,0.0151,3105,,
Newfoundland & Labrador,401,PORT AU CHOIX,1009047,"Division No.  9, Subd. G",,,,,5084063,4250333,0.0464,69,77,19852,79425,0.2500,49,,
Newfoundland & Labrador,,PORT AU PORT (INCLUDES GRAVEL BEACH),1004016,"Division No.  4, Subd. D",,,,,80713,10470,-0.9629,1,6,NA,NA,NA,830,,
Nova Scotia,1248,PORT BICKERTON EAST,1213001,St. Mary's,,,,,NA,NA,NA,NA,NA,958481,6401724,0.1497,2354,,
Nova Scotia,1249,PORT BICKERTON WEST,1213001,St. Mary's,,,,,NA,NA,NA,NA,NA,958481,6401724,0.1497,2354,,
Quebec,,PORT CARTIER,2497022,Sept-Rivieres-Caniapiscau,,,,,135196,45670,-0.5417,1,NA,13857,38428170,0.0004,6651,,
Newfoundland & Labrador,403,PORT DE GRAVE,1001415,"Division No.  1, Subd. L",,,,,12741235,5918530,-0.1713,34,47,1053919,2432085,0.4333,956,,
Nova Scotia,,PORT DUFFERIN,1209034,Halifax,,,,,333451,34946,-0.1433,3,4,8295382,1795405559,0.0046,390096,,
New Brunswick,,PORT ELGIN,1307002,,,,,,95876,17984,31.7969,1,1,19310,1378141,0.0140,418,,
Nova Scotia,,PORT FELIX,1213004,Guysborough,,,,,684089,70691,0.9413,2,2,2189058,11035667,0.1984,4189,,
Nova Scotia,,PORT GREVILLE,1211001,"Cumberland, Subd. A",,,,,39028,4253,-0.0225,1,1,190807,3525172,0.0541,2141,,
Newfoundland & Labrador,404,PORT HARMON,1004019,Stephenville,,,,,NA,NA,NA,NA,NA,107284,23779685,0.0045,6719,,
Nova Scotia,,PORT HASTINGS,1215001,"Inverness, Subd. C",,,,,9818,1061,0.7426,NA,1,184616,12277489,0.0150,3357,,
Nova Scotia,,PORT HAWKESBURY,1215002,,,,,,71664,8054,6.1194,1,1,43348,11764102,0.0037,3366,,
Nova Scotia,,PORT HERBERT,1201006,Shelburne,,,,,721616,299887,0.8732,9,9,622600,2383982,0.2612,4408,,
Nova Scotia,,PORT HILFORD,1213001,St. Mary's,,,,,66889,6988,-0.5257,NA,1,958481,6401724,0.1497,2354,,
Prince Edward Island,2061,PORT HILL,1103032,Lot 13,,,,,44142,37807,1.2931,3,2,NA,NA,NA,725,,
Nova Scotia,,PORT HOOD,1215006,"Inverness, Subd. B",,,,,59722,13241,0.1904,2,2,589237,15990801,0.0368,5144,,
Newfoundland & Labrador,,PORT HOPE SIMPSON,1010009,,,,,,7127,3482,-0.5783,2,2,278303,1416222,0.1965,441,,
Nova Scotia,,PORT HOWE,1211009,,,,,,4744,7540,-0.6258,1,0,NA,NA,NA,5325,,
Nova Scotia,,PORT JOLI ,1204010,Queens,,,,,395,107,-0.9630,1,0,2613644,28495307,0.0917,10917,,
Nova Scotia,1256,PORT LA TOUR,1201001,Barrington,,,,,7111378,2046721,0.6029,36,45,7802274,18868721,0.4135,6994,,
Nova Scotia,,PORT LORNE,1205009,,,,,,671960,68031,1.0642,1,2,212585,2043678,0.1040,3650,,
Nova Scotia,1258,PORT MAITLAND,1202004,Yarmouth,,,,,2709647,291065,-0.0544,8,9,2575595,17774581,0.1449,10105,,
Nova Scotia,,PORT MALCOLM,1216006,,,,,,25179,2617,0.4444,1,1,655477,14866733,0.0441,3953,,
Nova Scotia,1260,PORT MEDWAY,1204010,Queens,,,,,1303614,156096,-0.2468,13,15,2613644,28495307,0.0917,10917,,
Nova Scotia,1261,PORT MORIEN,1217030,Cape Breton,,,,,2029362,231410,0.4565,21,24,4980681,329033792,0.0151,97398,,
Nova Scotia,1262,PORT MOUTON,1204010,Queens,,,,,5727602,4627203,-0.2573,74,81,2613644,28495307,0.0917,10917,,
Nova Scotia,,PORT ROYAL,,,,,,,11734,5396,-0.1784,1,1,NA,NA,NA,NA,,
Newfoundland & Labrador,406,PORT SAUNDERS,1009047,"Division No.  9, Subd. G",,,,,7141350,6065911,0.9036,71,73,19852,79425,0.2500,49,,
Nova Scotia,,PORT WADE,1205004,"Annapolis, Subd. A",,,,,2110,959,115.9512,1,0,1116846,8333732,0.1340,6008,,
Quebec,3744,PORT-DANIEL-EST (À BONA),2402047,Port-Daniel--Gascons,,,,,711475,161567,0.3105,10,12,151184,2826944,0.0535,2453,,
Newfoundland & Labrador,727,PORTLAND CREEK,1009041,,,,,,87920,25962,0.8277,5,5,NA,NA,NA,84,,
Newfoundland & Labrador,409,PORTUGAL COVE,1001490,"Division No.  1, Subd. R",,,,,NA,NA,NA,NA,NA,30,10244,0.0030,344,,
Newfoundland & Labrador,,"PORTUGAL COVE, CONCEPTION BAY",,,,,,,528356,137444,0.0737,7,11,NA,NA,NA,NA,,
Newfoundland & Labrador,410,"PORTUGAL COVE, SOUTHERN SHORE",1001105,Portugal Cove South,,,,,625776,172356,0.0563,4,3,NA,NA,NA,160,,
Newfoundland & Labrador,411,POUCH COVE,1001505,Pouch Cove,,,,,827,619,NA,NA,0,89121,8572941,0.0104,1866,,
Prince Edward Island,,POWNAL BAY,1102012,,,,,,119596,57466,-0.4590,NA,1,NA,NA,NA,1077,,
Newfoundland & Labrador,414,PRINCETON,1007028,"Division No.  7, Subd. F",,,,,94646,33053,0.3596,6,7,230455,2628849,0.0877,971,,
Nova Scotia,,PROSPECT,,,,,,,118036,13327,3.0948,2,3,NA,NA,NA,NA,,
Nova Scotia,1270,PUGWASH,1211014,"Cumberland, Subd. D",,,,,307163,60305,-0.6094,12,12,79126,10611978,0.0075,4266,,
Newfoundland & Labrador,,PURBECK'S COVE,1008074,"Division No.  8, Subd. A",,,,,10593,19092,113.7217,2,2,127910,565137,0.2263,352,,
Nova Scotia,,PURCELL'S COVE,1209034,Halifax,,,,,31199,3231,0.6387,NA,0,8295382,1795405559,0.0046,390096,,
Newfoundland & Labrador,,PURCELL'S HARBOUR,1008026,"Division No.  8, Subd. I",,,,,20253,7773,-0.5781,3,4,NA,NA,NA,211,,
Nova Scotia,1272,QUEENSPORT,1213004,Guysborough,,,,,402366,45303,3.0275,3,5,2189058,11035667,0.1984,4189,,
Newfoundland & Labrador,417,QUIRPON,1009031,"Division No.  9, Subd. D",,,,,12478,31764,-0.9817,4,4,1063069,13904936,0.0765,815,,
Nova Scotia,,QUODDY INLET,,,,,,,54223,5944,-0.5503,NA,1,NA,NA,NA,NA,,
Newfoundland & Labrador,419,RALEIGH,1009031,"Division No.  9, Subd. D",,,,,141852,431350,-0.8804,9,10,1063069,13904936,0.0765,815,,
Newfoundland & Labrador,421,RAMEA,1003026,Ramea,,,,,168537,66406,-0.8618,7,9,92311,1609638,0.0573,280,,
Nova Scotia,,RAM'S LEDGE,,,,,,,321055,33111,-0.2526,1,1,NA,NA,NA,NA,,
Newfoundland & Labrador,423,RED BAY,1010003,Red Bay,,,,,7456,15298,-0.3920,1,2,25094,618267,0.0406,194,,
Newfoundland & Labrador,,RED BROOK (ROUZES BROOK),1004033,,,,,,173067,52471,-0.4560,11,10,89792,2107280,0.0426,949,,
Newfoundland & Labrador,424,RED CLIFF,,,,,,,2345,328,15.0000,1,1,NA,NA,NA,NA,,
Newfoundland & Labrador,426,RED HARBOUR,1002031,"Division No.  2, Subd. C",,,,,363137,141115,-0.5075,5,8,208627,1509841,0.1382,596,,
Prince Edward Island,2063,RED HEAD,1101046,Lot 40,,,,,2955018,389500,-0.4246,28,27,NA,NA,NA,435,,
Newfoundland & Labrador,427,RED HEAD COVE,1001339,"Division No.  1, Subd. G",,,,,1793,206,-0.9936,1,1,1322782,5570825,0.2374,2017,,
Newfoundland & Labrador,430,REEF'S HARBOUR,1009021,"Division No.  9, Subd. C",,,,,13171,2354,-0.5458,6,5,1381827,7979120,0.1732,2729,,
Newfoundland & Labrador,432,RENCONTRE EAST,1003002,Rencontre East,,,,,312635,56160,-0.8281,8,12,134846,377677,0.3570,141,,
Newfoundland & Labrador,433,RENEWS,1001131,Renews-Cappahayden,,,,,3016,766,-0.9927,NA,1,141776,1386786,0.1022,310,,
New Brunswick,2616,RICHARDSON,1302006,West Isles,,,,,104855,16696,0.1695,3,2,1374189,3062876,0.4487,731,,
New Brunswick,2617,RICHIBUCTO,1308016,Richibucto,,,,,3366467,778326,0.0037,54,57,411615,4838284,0.0851,1986,,
Prince Edward Island,,RICHMOND,1103031,,,,,,12606,4822,5.7682,1,1,45391,2874809,0.0158,763,,
Quebec,3755,RIMOUSKI-EST,2410043,,,,,,2348071,708545,-0.3250,7,8,135870,191386329,0.0007,46860,,
Nova Scotia,,RIVER BOURGEOIS,1216006,,,,,,342240,35922,1.2039,1,2,655477,14866733,0.0441,3953,,
Newfoundland & Labrador,434,RIVER OF PONDS,1009047,"Division No.  9, Subd. G",,,,,280944,68687,-0.6716,19,17,19852,79425,0.2500,49,,
Newfoundland & Labrador,435,RIVERHEAD,1001155,"Division No.  1, Subd. W",,,,,1807049,556252,0.1055,4,7,NA,NA,NA,511,,
Quebec,3760,RIVIERE AU TONNERRE (RIVIERE),2498055,Rivière-au-Tonnerre,,,,,2833278,962617,0.1407,9,9,136563,1299319,0.1051,307,,
New Brunswick,,RIVIERE RICHIBUCTOU,,,,,,,206996,300032,-0.9195,2,5,NA,NA,NA,NA,,
Quebec,4077,RIVIÈRE ST-PAUL (BAIE CHEVALIER),2498010,Bonne-Espérance,,,,,NA,NA,NA,NA,NA,217524,1426536,0.1525,732,,
Quebec,3767,RIVIERE ST-PAUL (VILLAGE),2498010,Bonne-Espérance,,,,,NA,NA,NA,NA,NA,217524,1426536,0.1525,732,,
New Brunswick,,RIVIERE TABUSINTAC,,,,,,,42048,25813,-0.9180,2,2,NA,NA,NA,NA,,
Quebec,3768,RIVIERE-AU-RENARD,2403005,Gaspé,,,,,25367823,16392403,-0.0753,47,54,3184211,55870550,0.0570,15163,,
Quebec,,RIVIERE-DU-LOUP,2412072,,,,,,1799,863,-0.9851,NA,1,NA,NA,NA,19447,,
Quebec,,RIVIERE-KEGASHKA,2497007,Sept-Îles,,,,,3283716,813459,0.7095,22,23,70956,27007770,0.0026,25686,,
Quebec,,RIVIERE-PENTECOTE,2497022,Sept-Rivieres-Caniapiscau,,,,,4074,3516,2.2213,1,1,13857,38428170,0.0004,6651,,
Newfoundland & Labrador,436,ROBERT'S ARM,1008058,"Division No.  8, Subd. C",,,,,426411,353263,5.0138,3,5,NA,NA,NA,527,,
New Brunswick,2621,ROBICHAUD,1307016,Shediac,,,,,244623,47849,-0.0510,5,7,326382,20069983,0.0163,4917,,
Newfoundland & Labrador,,ROBINSONS,1004006,"Division No.  4, Subd. B",,,,,1760,436,0.9128,1,0,58334,3199737,0.0182,1298,,
Newfoundland & Labrador,,ROCK HARBOUR,1002022,,,,,,3843,3843,1.3740,2,1,NA,NA,NA,260,,
Nova Scotia,,ROCKVILLE,1202004,Yarmouth,,,,,35990,3189,-0.4289,3,1,2575595,17774581,0.1449,10105,,
Newfoundland & Labrador,438,ROCKY HARBOUR,1009009,"Division No.  9, Subd. A",,,,,637114,379447,-0.0741,16,27,81932,1285301,0.0637,117,,
Newfoundland & Labrador,,RODDICKTON,1009006,,,,,,198771,682155,-0.8762,8,4,106945,2797463,0.0382,NA,,
Prince Edward Island,,ROLLO BAY,1101032,,,,,,4785,2304,47.8667,1,1,NA,NA,NA,806,,
Nova Scotia,1278,ROSE BAY,1206001,Lunenburg,,,,,36005,5880,0.7106,2,3,3281566,61655736,0.0532,25118,,
Newfoundland & Labrador,439,ROSE BLANCHE,1003042,"Division No.  3, Subd. J",,,,,503090,260722,-0.7228,17,23,NA,NA,NA,388,,
Nova Scotia,,ROSEWAY,1201006,Shelburne,,,,,22513,2628,-0.4569,NA,1,622600,2383982,0.2612,4408,,
Nova Scotia,,ROSS FERRY,1218001,"Victoria, Subd. B",,,,,1324,171,9.4512,NA,NA,296959,13825550,0.0215,3828,,
Newfoundland & Labrador,441,ROUND HARBOUR,1008067,"Division No.  8, Subd. O",,,,,48830,18363,-0.8628,5,4,113955,442073,0.2578,330,,
Newfoundland & Labrador,442,RUSHOON,1002031,"Division No.  2, Subd. C",,,,,4155,3874,46.4748,1,0,208627,1509841,0.1382,596,,
Prince Edward Island,,RUSTICO,1102044,,,,,,24875,4693,5.6009,NA,1,NA,NA,NA,1656,,
Prince Edward Island,,RUSTICO BAY,,,,,,,12833,4616,-0.9202,NA,1,NA,NA,NA,NA,,
Nova Scotia,,RYANS CREEK,1208008,,,,,,256,276,1.3492,NA,0,185324,105135380,0.0018,22111,,
Nova Scotia,,SABLE RIVER,1201006,Shelburne,,,,,5479,2609,-0.4678,NA,0,622600,2383982,0.2612,4408,,
Quebec,,SAINT-ANDRE-DE-KAMOURASKA,2414040,,,,,,11562,1748,-0.8483,1,1,NA,NA,NA,651,,
New Brunswick,2623,SAINT-EDOUARD-DE-KENT,1308004,Wellington,,,,,NA,NA,NA,NA,NA,378656,8096168,0.0468,3327,,
New Brunswick,2640,SAINTE-MARIE-SUR-MER,1315029,Shippagan,,,,,NA,NA,NA,NA,NA,2962105,12888780,0.2298,5032,,
Quebec,,SAINT-FRANCOIS (ILE-D'ORLEANS),2420005,,,,,,84,17,-0.6923,1,1,NA,NA,NA,527,,
Quebec,,SAINT-IRENEE,2415005,,,,,,13246,8496,-0.9957,1,1,NA,NA,NA,674,,
Quebec,,SAINT-JOACHIN-DE-TOURELLE,2404037,Sainte-Anne-des-Monts,,,,,1382693,501729,0.4442,12,14,371538,19207578,0.0193,6933,,
Newfoundland & Labrador,444,"SALLY'S COVE, ST. BARBE",1009037,Sally's Cove,,,,,102660,37383,7.7757,5,7,NA,NA,NA,27,,
Quebec,3774,SALMON BAY,2498010,Bonne-Espérance,,,,,441,437,NA,NA,0,217524,1426536,0.1525,732,,
Newfoundland & Labrador,446,SALVAGE,1007038,"Division No.  7, Subd. D",,,,,960219,841499,-0.7725,24,30,143,4968,0.0288,232,,
Nova Scotia,1280,SAMBRO,1209034,Halifax,,,,,15657272,6543715,-0.2007,52,51,8295382,1795405559,0.0046,390096,,
Nova Scotia,,SAMBRO HEAD,1209034,Halifax,,,,,573096,232608,-0.9455,NA,6,8295382,1795405559,0.0046,390096,,
Nova Scotia,,SAND POINT,,,,,,,615626,72218,0.0187,4,6,NA,NA,NA,NA,,
Nova Scotia,1282,SANDFORD,1202004,Yarmouth,,,,,4732054,583064,0.4382,11,16,2575595,17774581,0.1449,10105,,
Quebec,,SANDY BEACH,2403005,Gaspé,,,,,399551,64566,0.2242,2,3,3184211,55870550,0.0570,15163,,
Nova Scotia,,SANDY COVE,,,,,,,3032953,601086,0.3224,23,22,NA,NA,NA,NA,,
Newfoundland & Labrador,449,SANDY COVE (STRAIT OF BELLE ISLE),1009021,"Division No.  9, Subd. C",,,,,NA,NA,NA,NA,NA,1381827,7979120,0.1732,2729,,
Nova Scotia,1283,SANDY COVE EAST,1203004,Digby,,,,,NA,NA,NA,NA,NA,2347740,15260532,0.1538,7463,,
Newfoundland & Labrador,,"SANDY COVE, ST. BARBE",1009021,"Division No.  9, Subd. C",,,,,60983,90548,-0.8923,3,10,1381827,7979120,0.1732,2729,,
Nova Scotia,,SANDY POINT,1201006,Shelburne,,,,,2160721,323851,-0.4540,16,18,622600,2383982,0.2612,4408,,
Newfoundland & Labrador,451,SANDYVILLE (DAWSON'S COVE),1003009,"Division No.  3, Subd. C",,,,,4442,1078,-0.7382,2,2,NA,NA,NA,0,,
Nova Scotia,1286,SAULNIERVILLE,1203001,Clare,,,,,2265061,1828102,-0.6107,18,16,3859802,20826716,0.1853,8319,,
Newfoundland & Labrador,452,SAVAGE COVE,1009021,"Division No.  9, Subd. C",,,,,81418,42322,0.3717,4,6,1381827,7979120,0.1732,2729,,
Prince Edward Island,2069,SAVAGE HARBOUR,1101051,Lot 38,,,,,2056502,274429,-0.1650,18,18,NA,NA,NA,521,,
New Brunswick,2625,SAVOY LANDING,1315029,Shippagan,,,,,565733,76442,0.0231,10,9,2962105,12888780,0.2298,5032,,
Nova Scotia,1153,SCOTS BAY (LITTLE COVE),1207016,"Kings, Subd. B",,,,,NA,NA,-0.4478,1,NA,149039,27045092,0.0055,11990,,
Prince Edward Island,2070,SEACOW POND,1103058,Lot  1,,,,,2704837,480840,-0.6471,66,48,NA,NA,NA,1786,,
New Brunswick,,SEAL COVE,1302052,Grand Manan,,,,,7335731,959288,-0.7515,22,30,NA,NA,NA,2377,,
Newfoundland & Labrador,453,SEAL COVE (CONNAIGRE BAY),1003009,"Division No.  3, Subd. C",,,,,NA,NA,NA,NA,NA,NA,NA,NA,0,,
Newfoundland & Labrador,456,SEAL COVE (HEATHERTON),1004006,"Division No.  4, Subd. B",,,,,NA,NA,NA,NA,NA,58334,3199737,0.0182,1298,,
Newfoundland & Labrador,454,SEAL COVE (WHITE BAY),1008074,"Division No.  8, Subd. A",,,,,421659,266327,-0.5699,10,13,127910,565137,0.2263,352,,
Newfoundland & Labrador,,"SEAL COVE, CONCEPTION BAY",,,,,,,7609,4823,101.8310,2,1,NA,NA,NA,NA,,
Newfoundland & Labrador,,"SEAL COVE, HERMITAGE BAY",,,,,,,297853,51277,-0.9066,16,17,NA,NA,NA,NA,,
New Brunswick,2626,SEAL COVE-FISHERMEN'S WHARVES,1302052,Grand Manan,,,,,NA,NA,NA,NA,NA,NA,NA,NA,2377,,
Nova Scotia,,SECOND PENINSULA,1206001,Lunenburg,,,,,70314,8325,6.2983,1,1,3281566,61655736,0.0532,25118,,
New Brunswick,2627,SEELEYS COVE,1302011,Pennfield,,,,,NA,NA,NA,NA,NA,996295,7733990,0.1288,2218,,
New Brunswick,,SEELY COVE,1302011,Pennfield,,,,,505245,80137,-0.4931,7,7,996295,7733990,0.1288,2218,,
Newfoundland & Labrador,,SELDOM,1008025,,,,,,7658224,4208230,-0.3173,41,49,543340,1421486,0.3822,427,,
Newfoundland & Labrador,457,SELDOM COME BY,1008020,Fogo Island Region (Part),,,,,NA,NA,NA,NA,NA,310592,1065836,0.2914,421,,
Quebec,4078,SEPT-ILES (PARC BUNGE),2497007,Sept-Îles,,,,,5415671,1583558,0.2414,16,16,70956,27007770,0.0026,25686,,
Nova Scotia,1291,SHAD BAY,1209034,Halifax,,,,,4827,538,NA,NA,0,8295382,1795405559,0.0046,390096,,
Nova Scotia,1292,SHAG HARBOUR,1201001,Barrington,,,,,5845896,956137,-0.3809,22,31,7802274,18868721,0.4135,6994,,
Nova Scotia,1293,SHAG HARBOUR (PROSPECT POINT),1201001,Barrington,,,,,NA,NA,NA,NA,1,7802274,18868721,0.4135,6994,,
Newfoundland & Labrador,458,SHEAVES COVE,1004022,"Division No.  4, Subd. E",,,,,71557,11264,-0.0026,3,4,33,800,0.0414,1973,,
New Brunswick,,SHEDIAC,,,,,,,27550,19514,0.5995,NA,2,NA,NA,NA,NA,,
New Brunswick,,SHEDIAC BRIDGE,1307016,Shediac,,,,,52871,48011,0.2484,2,1,326382,20069983,0.0163,4917,,
Nova Scotia,,SHEET HARBOUR,1209034,Halifax,,,,,1409217,2791786,-0.5674,4,8,8295382,1795405559,0.0046,390096,,
Nova Scotia,,SHEET HARBOUR PASSAGE,1209034,Halifax,,,,,85757,8929,0.2201,2,2,8295382,1795405559,0.0046,390096,,
Nova Scotia,,SHELBURNE,,,,,,,45508328,23208473,0.4525,10,12,NA,NA,NA,NA,,
Quebec,3783,SHIGAWAKE,2405010,Shigawake,,,,,285184,64813,-0.5456,5,6,135166,862172,0.1568,338,,
Newfoundland & Labrador,461,SHIP COVE (CAPE ONION),1009031,"Division No.  9, Subd. D",,,,,12036,3785,-0.7377,3,4,1063069,13904936,0.0765,815,,
Newfoundland & Labrador,459,SHIP COVE (CONCEPTION BAY),1001415,"Division No.  1, Subd. L",,,,,NA,NA,NA,NA,NA,1053919,2432085,0.4333,956,,
Newfoundland & Labrador,460,SHIP COVE (ST.GEORGE'S BAY),1004022,"Division No.  4, Subd. E",,,,,82312,14118,0.2116,2,3,33,800,0.0414,1973,,
Newfoundland & Labrador,462,SHIP HARBOUR,1001234,"Division No.  1, Subd. B",,,,,65300,6890,1.2728,1,1,NA,NA,NA,344,,
Newfoundland & Labrador,,"SHIP HARBOUR, PLACENTIA BAY",,,,,,,46150,28366,-0.6477,2,3,NA,NA,NA,NA,,
New Brunswick,2630,SHIPPAGAN,1315031,Shippagan,,,,,21219171,6104410,-0.3440,61,61,932473,10326943,0.0903,2603,,
Newfoundland & Labrador,464,SHOAL COVE WEST,1009021,"Division No.  9, Subd. C",,,,,39831,6642,-0.5568,8,8,1381827,7979120,0.1732,2729,,
Newfoundland & Labrador,,"SHOAL POINT, PORT AU PORT BAY",,,,,,,55421,6948,1.0203,4,4,NA,NA,NA,NA,,
Newfoundland & Labrador,467,"SHOE COVE, GREEN BAY",1008067,"Division No.  8, Subd. O",,,,,186128,154327,-0.3353,11,14,113955,442073,0.2578,330,,
Nova Scotia,,SHUBENACADIE,1208008,,,,,,1725,2270,-0.6614,NA,0,185324,105135380,0.0018,22111,,
Newfoundland & Labrador,468,SIBLEYS COVE,1001321,"Division No.  1, Subd. F",,,,,162064,64556,-0.5138,13,13,482634,1536378,0.3141,546,,
Newfoundland & Labrador,,SILVER FOX ISLAND,1007051,"Division No.  7, Subd. B",,,,,46561,16057,-0.5885,1,3,NA,NA,NA,25,,
Nova Scotia,1295,SKINNER'S COVE,1212001,"Pictou, Subd. A",,,,,345189,87878,0.1896,10,10,352662,11924084,0.0296,6397,,
Prince Edward Island,2071,SKINNER'S POND,1103058,Lot  1,,,,,4559937,1028678,-0.4037,66,66,NA,NA,NA,1786,,
Nova Scotia,1296,SLUICE POINT,1202001,Argyle,,,,,176323,324668,-0.9770,1,2,8301417,26998789,0.3075,8252,,
Nova Scotia,,SMITH COVE,1209034,Halifax,,,,,146495,67789,4.7894,1,1,8295382,1795405559,0.0046,390096,,
Newfoundland & Labrador,469,SMITH'S HARBOUR,1008067,"Division No.  8, Subd. O",,,,,22583,10953,0.8906,2,3,113955,442073,0.2578,330,,
Newfoundland & Labrador,470,SNOOK'S ARM,1008067,"Division No.  8, Subd. O",,,,,78290,22557,-0.8736,4,3,113955,442073,0.2578,330,,
Nova Scotia,,SOBER ISLAND,1209034,Halifax,,,,,269534,28013,0.7752,4,4,8295382,1795405559,0.0046,390096,,
Nova Scotia,1300,SONORA,1213001,St. Mary's,,,,,1610106,77347,0.1649,6,6,958481,6401724,0.1497,2354,,
Newfoundland & Labrador,471,SOP'S ARM,1005003,"Division No.  5, Subd. G",,,,,1476,427,-0.9943,4,2,43030,1277196,0.0337,470,,
Prince Edward Island,,SOURIS,1101036,,,,,,4389510,1421415,-0.7987,54,61,2115400,15483566,0.1366,1173,,
Prince Edward Island,,SOURIS RIVER,1101032,,,,,,12900,6646,-0.9842,1,1,NA,NA,NA,806,,
